Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,mgene0,mgene1,mgene2,phen0,phen1,phen2
149,3186,1,0,2,0,0.0816999,-0.0340899,-0.0626328,0.0278112,-0.029499,0.0619392,10,0.5,0.355192
150,3187,1,1,2,0,0.0366108,-0.0214056,-0.071654,0.0993753,-0.157627,0.171727,10,0.5,0.477624
151,3188,1,0,2,0,0.0820233,-0.055841,-0.00196361,-0.140292,0.200106,0.0540249,10,0.5,0.41929
152,3202,1,1,2,0,-0.11086,-0.0829439,0.160775,0.185671,0.00551634,-0.00955751,10,0.5,0.539764
153,3204,1,0,2,0,0.0280758,0.0754563,0.0627503,-0.0188363,0.0482511,0.122192,10,0.5,0.58074
154,3206,1,1,2,0,-0.140292,0.200106,-0.0523462,-0.140085,-0.0634343,-0.198843,10,0.5,0.05084
155,3209,1,0,2,0,-0.174552,0.140383,-0.0940392,0.0816999,-0.258217,-0.141123,10,0.5,0.0703137
156,3210,1,1,2,0,-0.0494704,-0.0715264,0.0409958,-0.181677,-0.0957347,-0.00699485,10,0.5,0.397346
157,3211,1,1,2,0,-0.0506013,-0.033265,-0.061082,-0.103138,-0.0986366,0.127114,10,0.5,0.436265
158,3213,1,0,2,0,-0.181677,0.0424388,0.14728,0.0397055,-0.0340899,0.171727,10,0.5,0.743629
159,3215,1,1,2,0,0.0238125,0.134875,0.0686572,0.0918836,-0.0985847,-0.114609,10,0.5,0.300204
160,3219,1,1,2,0,-0.022657,-0.258217,0.0181194,-0.0107399,0.0735077,-0.12518,10,0.5,0.225956
161,3221,1,0,2,0,-0.0507314,0.0735077,-0.00955751,0.0701613,-0.0470417,-0.0424282,10,0.5,0.292873
162,3225,1,1,2,0,-0.19167,-0.029499,0.0105063,-0.0529153,-0.0236419,0.0213059,10,0.5,0.394687
163,3236,1,1,2,0,0.0993753,-0.033265,0.177815,0.0398369,-0.0462286,-0.211662,10,0.5,0.314911
164,3240,1,1,2,0,0.0560289,-0.0625026,-0.0538557,-0.173099,-0.103491,-0.012028,10,0.5,0.275986
165,3242,1,0,2,0,0.0918836,0.0370861,-0.0400209,0.0718214,-0.0527861,0.122192,10,0.5,0.455873
166,3243,1,0,2,0,0.0311575,-0.00872093,0.240331,-0.13827,-0.0475079,-0.00699485,10,0.5,0.639538
167,3244,1,1,2,0,0.116464,-0.10373,0.179763,0.0816999,-0.103491,-0.0787145,10,0.5,0.478809
168,3247,1,1,2,0,-0.173099,-0.0715264,-0.012028,-0.0107399,-0.0236419,0.0807381,10,0.5,0.439518
169,3248,1,0,2,0,-0.12212,0.0487256,-0.155223,0.0346932,-0.12078,0.192671,10,0.5,0.401535
170,3257,1,0,2,0,-0.0679983,-0.103562,-0.141123,0.0325571,0.169365,-0.061082,10,0.5,0.110357
171,3258,1,0,2,0,0.00365706,0.169365,0.0525144,-0.0811159,-0.0236419,0.0213059,10,0.5,0.445727
172,3272,1,1,2,0,0.00365706,-0.0102681,0.14728,0.18978,-0.0634339,-0.00955751,10,0.5,0.523368
173,3274,1,1,2,0,0.0397055,-0.0705341,0.204806,0.0816999,-0.258217,-0.141123,10,0.5,0.43341
174,3280,1,0,2,0,-0.181677,-0.0298185,0.0409958,0.0979729,0.134875,0.0686572,10,0.5,0.489264
175,3286,1,1,2,0,-0.08627,-0.258217,0.171727,0.0816999,-0.0957347,-0.0215852,10,0.5,0.538458
176,3288,1,1,2,0,0.0398369,-0.0527861,-0.00699485,-0.140292,0.200106,0.0105063,10,0.5,0.360302
177,3289,1,0,2,0,0.0708506,0.134875,-0.00196361,0.0238125,-0.0621384,-0.0739538,10,0.5,0.263796
178,3291,1,0,2,0,-0.19167,0.0381239,-0.0717985,-0.0506013,-0.0634343,0.177815,10,0.5,0.484845
179,3293,1,1,2,0,-0.0309985,0.134875,-0.00196361,-0.13827,-0.103491,0.177815,10,0.5,0.569694
180,3296,1,0,2,0,-0.121037,0.0771156,0.030388,0.0574139,0.00935752,0.0105063,10,0.5,0.405722
181,3307,1,1,2,0,0.0325571,-0.0470417,-0.0717985,0.0996125,-0.0625026,0.0359381,10,0.5,0.312465
182,3316,1,1,2,0,-0.140292,-0.0610469,0.0217566,0.0754317,0.222485,0.160775,10,0.5,0.577811
183,3323,1,1,2,0,-0.000311832,-0.0470417,-0.0717985,0.0238125,-0.0956569,0.124066,10,0.5,0.41954
184,3329,1,1,2,0,0.0453465,0.0872899,-0.141672,0.0935869,-0.12078,0.105968,10,0.5,0.312655
185,3330,1,1,2,0,-0.0597838,0.00935752,-0.073531,0.0820233,-0.0239877,0.0941633,10,0.5,0.381104
186,3331,1,0,2,0,-0.000311832,-0.0956569,0.0409958,-0.121037,-0.258217,0.0540249,10,0.5,0.471485
